"artist_name","track_name","album_name","danceability","track_number","lyric"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,4,"Ah, ah"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"We gather here, we line up, weepin' in a sunlit room"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"And if I'm on fire, you'll be made of ashes, too"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"Even on my worst day, did I deserve, babe"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"All the hell you gave me?'Cause I loved you, I swear I loved you"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"'Til my dying day"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"I didn't have it in myself to go with grace"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"And you're the hero flying around, saving face"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"And if I'm dead to you, why are you at the wake?"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"Cursing my name, wishing I stayed"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"Look at how my tears ricochet"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"We gather stones, never knowing what they'll mean"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"Some to throw, some to make a diamond ring"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"You know I didn't want to have to haunt you"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"But what a ghostly scene"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"You wear the same jewels that I gave you"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"As you bury me"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"I didn't have it in myself to go with grace'Cause when I'd fight, you used to tell me I was brave"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"And if I'm dead to you, why are you at the wake?"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"Cursing my name, wishing I stayed"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"Look at how my tears ricochet"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"And I can go anywhere I want"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"Anywhere I want, just not home"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"And you can aim for my heart, go for blood"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"But you would still miss me in your bones"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"And I still talk to you (When I'm screaming at the sky)"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"And when you can't sleep at night (You hear my stolen lullabies)"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"I didn't have it in myself to go with grace"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"And so the battleships will sink beneath the waves"
"Taylor Swift","my tears ricochet","folklore",0.456,5,"You had to kill me, but it killed you just the same"
