"artist_name","track_name","album_name","danceability","lyric"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"You're not my homeland anymore"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"So what am I defending now?"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"You were my town, now I'm in exile, seein' you out"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I think I've seen this film before"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"Ooh, ooh, ooh"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I can see you starin', honey"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"Like he's just your understudy"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"Like you'd get your knuckles bloody for me"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"Second, third, and hundredth chances"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"Balancin' on breaking branches"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"Those eyes add insult to injury"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I think I've seen this film before"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"And I didn't like the ending"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I'm not your problem anymore"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"So who am I offending now?"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"You were my crown, now I'm in exile, seein' you out"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I think I've seen this film before"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"So I'm leaving out the side door"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"So step right out, there is no amount"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"Of crying I can do for you"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"All this time"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"We always walked a very thin line"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"You didn't even hear me out (You didn't even hear me out)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"You never gave a warning sign (I gave so many signs)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"All this time"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I never learned to read your mind (Never learned to read my mind)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I couldn't turn things around (You never turned things around)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"'Cause you never gave a warning sign (I gave so many signs)"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"So many signs, so many signs"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"You didn't even see the signs"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I think I've seen this film before"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"And I didn't like the ending"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"You're not my homeland anymore"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"So what am I defending now?"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"You were my town, now I'm in exile, seein' you out"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"I think I've seen this film before"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"So I'm leavin' out the side door"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"So step right out, there is no amount"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"Of crying I can do for you"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"All this time"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"We always walked a very thin line"
"Taylor Swift","exile (feat. Bon Iver)","folklore",0.298,"You didn't even hear me out (Didn't even hear me out)"
