"SOURCE","TARGET","term","TYPE"
79,84,1946,"majority"
87,84,1946,"majority"
86,85,1946,"majority"
81,85,1946,"majority"
79,85,1946,"majority"
78,85,1946,"majority"
82,85,1946,"majority"
87,85,1946,"majority"
80,86,1946,"majority"
79,86,1946,"majority"
87,86,1946,"majority"
80,86,1946,"majority"
79,86,1946,"majority"
87,86,1946,"majority"
80,86,1946,"majority"
79,86,1946,"majority"
87,86,1946,"majority"
87,78,1946,"majority"
81,78,1946,"majority"
82,78,1946,"majority"
85,78,1946,"majority"
86,78,1946,"majority"
84,78,1947,"majority"
81,78,1947,"majority"
80,78,1947,"majority"
79,78,1947,"majority"
82,78,1947,"majority"
87,78,1947,"majority"
87,80,1947,"majority"
79,80,1947,"majority"
82,80,1947,"majority"
86,80,1947,"majority"
86,81,1947,"majority"
84,81,1947,"majority"
80,81,1947,"majority"
79,81,1947,"majority"
78,81,1947,"majority"
85,81,1947,"majority"
82,81,1947,"majority"
87,81,1947,"majority"
81,84,1947,"majority"
78,84,1947,"majority"
85,84,1947,"majority"
82,84,1947,"majority"
87,84,1947,"majority"
86,81,1947,"majority"
84,81,1947,"majority"
79,81,1947,"majority"
85,81,1947,"majority"
84,86,1947,"majority"
80,86,1947,"majority"
79,86,1947,"majority"
87,86,1947,"majority"
86,79,1947,"majority"
84,79,1947,"majority"
87,79,1947,"majority"
86,79,1947,"majority"
84,79,1947,"majority"
87,79,1947,"majority"
86,79,1947,"majority"
84,79,1947,"majority"
87,79,1947,"majority"
86,78,1947,"majority"
84,78,1947,"majority"
81,78,1947,"majority"
80,78,1947,"majority"
79,78,1947,"majority"
85,78,1947,"majority"
82,78,1947,"majority"
87,78,1947,"majority"
86,79,1947,"majority"
84,79,1947,"majority"
81,79,1947,"majority"
80,79,1947,"majority"
78,79,1947,"majority"
85,79,1947,"majority"
82,79,1947,"majority"
86,81,1947,"majority"
84,81,1947,"majority"
80,81,1947,"majority"
79,81,1947,"majority"
78,81,1947,"majority"
85,81,1947,"majority"
82,81,1947,"majority"
84,81,1947,"majority"
80,81,1947,"majority"
79,81,1947,"majority"
78,81,1947,"majority"
85,81,1947,"majority"
82,81,1947,"majority"
86,85,1947,"majority"
84,85,1947,"majority"
81,85,1947,"majority"
80,85,1947,"majority"
79,85,1947,"majority"
78,85,1947,"majority"
82,85,1947,"majority"
87,85,1947,"majority"
87,85,1947,"majority"
78,85,1947,"majority"
79,85,1947,"majority"
80,85,1947,"majority"
81,85,1947,"majority"
86,85,1947,"majority"
86,82,1947,"majority"
84,82,1947,"majority"
