"Program","Network","Rank","Rating","Year"
"Matlock","NBC",15,18.6,1986
"NBC Monday Night Movie","NBC",15,18.6,1986
"NBC Sunday Night Movie","NBC",20,18.2,1986
"L.A. Law","NBC",21,17.4,1986
"My Sister Sam","NBC",21,17.4,1986
"Falcon Crest","NBC",23,17.3,1986
"Highway to Heaven","NBC",24,17.2,1986
"Miami Vice","NBC",26,16.8,1986
"ALF","NBC",28,16.5,1986
"Hunter","NBC",28,16.5,1986
"The Cosby Show","NBC",1,27.8,1987
"A Different World","NBC",2,25,1987
"Cheers","NBC",3,23.4,1987
"The Golden Girls","NBC",4,21.8,1987
"Night Court","NBC",7,20.8,1987
"ALF","NBC",10,18.8,1987
"L.A. Law","NBC",12,18.3,1987
"Matlock","NBC",14,17.8,1987
"Amen","NBC",15,17.5,1987
"Family Ties","NBC",17,17.3,1987
"In the Heat of the Night","NBC",19,17,1987
"My Two Dads","NBC",20,16.9,1987
"Valerie's Family","NBC",20,16.9,1987
"NBC Sunday Night Movie","NBC",23,16.7,1987
"NBC Monday Night Movie","NBC",26,16.4,1987
"227","NBC",27,16.3,1987
"Day by Day","NBC",28,16.2,1987
"Hunter","NBC",29,16.1,1987
"Aaron's Way","NBC",30,16,1987
"The Cosby Show","NBC",1,25.6,1988
"A Different World","NBC",3,23,1988
"Cheers","NBC",4,22.3,1988
"The Golden Girls","NBC",6,21.4,1988
"Empty Nest","NBC",9,19.2,1988
"Dear John","NBC",11,18.5,1988
"Matlock","NBC",12,17.7,1988
"L.A. Law","NBC",13,17.6,1988
"Growing Pains","NBC",13,17.6,1988
"ALF","NBC",15,17.5,1988
"Unsolved Mysteries","NBC",17,17.4,1988
"In the Heat of the Night","NBC",18,17.3,1988
"Hunter","NBC",19,17.2,1988
"Night Court","NBC",21,16.9,1988
"The Hogan Family","NBC",22,16.3,1988
"NBC Sunday Night Movie","NBC",22,16.3,1988
"The Wonder Years","NBC",22,16.3,1988
"Amen","NBC",25,16.2,1988
"NBC Monday Night Movie","NBC",25,16.2,1988
"The Cosby Show","NBC",1,23.1,1989
"Cheers","NBC",3,22.7,1989
"A Different World","NBC",4,21.1,1989
"The Golden Girls","NBC",6,20.1,1989
"Empty Nest","NBC",9,18.9,1989
"Unsolved Mysteries","NBC",11,18,1989
"Grand","NBC",15,17.6,1989
"L.A. Law","NBC",16,17.4,1989
"Dear John","NBC",17,17.2,1989
"In the Heat of the Night","NBC",19,16.9,1989
"Matlock","NBC",20,16.6,1989
"Hunter","NBC",24,14.9,1989
"Night Court","NBC",28,14.5,1989
"Cheers","NBC",14,19.2,1984
"ABC Monday Movie","ABC",25,13.8,1991
"The Jackie Thomas Show","ABC",16,14.6,1992
"Dr. Quinn, Medicine Woman","CBS",25,13.3,1993
"Dateline NBC - Wednesday","NBC",28,11.3,1995
"3rd Rock from the Sun","NBC",27,10.8,1996
"Dateline NBC - Tuesday","NBC",13,11.5,1997
"Dateline NBC - Monday","NBC",14,11.4,1997
"20/20 - Friday","ABC",14,9.9,1998
"Dateline NBC - Monday","NBC",19,9.7,1998
"CBS Tuesday Movie","CBS",19,9.7,1998
"Spin City","ABC",24,9.1,1999
