"Program","Network","Rank","Rating","Year"
"Dancing with the Stars","ABC",5,10,2015
"Grey's Anatomy","ABC",11,8.5,2015
"Castle","ABC",12,8.3,2015
"Scandal","ABC",13,8.2,2015
"Resurrection","ABC",15,8.1,2015
"Modern Family","ABC",18,7.6,2015
"Roseanne","ABC",4,10.2,2017
"The Good Doctor","ABC",7,9.3,2017
"Grey's Anatomy","ABC",12,7.1,2017
"Dancing with the Stars","ABC",15,6.9,2017
"Dancing with the Stars: Athletes","ABC",25,6,2017
"American Idol - Monday","ABC",30,5.6,2017
"The Good Doctor","ABC",9,7.4,2018
"Grey's Anatomy","ABC",20,6.5,2018
"The Conners","ABC",27,5.8,2018
"Dancing with the Stars","ABC",29,5.5,2018
"Dancing with the Stars","ABC",7,9.7,2014
"Scandal","ABC",8,9,2014
"Grey's Anatomy","ABC",17,7.8,2014
"How to Get Away with Murder","ABC",20,7.7,2014
"Modern Family","ABC",23,7.5,2014
"Castle","ABC",28,7.2,2014
"S.W.A.T.","ABC",16,22.6,1974
"The Rookies","ABC",18,22,1974
"The Streets of San Francisco","ABC",22,21.3,1974
"Rich Man, Poor Man","ABC",2,28,1975
"Laverne & Shirley","ABC",3,27.5,1975
"The Bionic Woman","ABC",5,24.9,1975
"The Six Million Dollar Man","ABC",9,24.3,1975
"ABC Monday Night Movie","ABC",10,24.2,1975
"Happy Days","ABC",11,23.9,1975
"ABC Sunday Night Movie","ABC",13,23,1975
"Starsky & Hutch","ABC",16,22.5,1975
"Good Heavens","ABC",16,22.5,1975
"Welcome Back, Kotter","ABC",18,22.1,1975
"Barretta","ABC",22,21.3,1975
"Donny & Marie","ABC",26,20.7,1975
"The Streets of San Francisco","ABC",26,20.7,1975
"Happy Days","ABC",1,31.5,1976
"Laverne & Shirley","ABC",2,30.9,1976
"ABC Monday Night Movie","ABC",3,26,1976
"Charlie's Angels","ABC",5,25.8,1976
"The Six Million Dollar Man","ABC",7,24.2,1976
"ABC Sunday Night Movie","ABC",8,23.4,1976
"Barretta","ABC",8,23.4,1976
"Three's Company","ABC",11,23.1,1976
"Welcome Back, Kotter","ABC",13,22.7,1976
"The Bionic Woman","ABC",14,22.4,1976
"Barney Miller","ABC",17,22.2,1976
"Rich Man, Poor Man Book II","ABC",21,21.6,1976
"Monday Night Football","ABC",22,21.2,1976
"Eight Is Enough","ABC",23,21.1,1976
"What's Happening!!","ABC",25,20.9,1976
"ABC Friday Night Movie","ABC",28,20.2,1976
"The Tony Randall Show","ABC",29,20.1,1976
"Laverne & Shirley","ABC",1,31.6,1977
"Happy Days","ABC",2,31.4,1977
"Three's Company","ABC",3,28.3,1977
"Charlie's Angels","ABC",4,24.4,1977
"How the West Was Won","ABC",11,22.5,1977
"Eight Is Enough","ABC",12,22.2,1977
"Soap","ABC",13,22,1977
"The Love Boat","ABC",14,21.9,1977
"Monday Night Football","ABC",16,21.5,1977
"Fantasy Island","ABC",17,21.4,1977
"Barney Miller","ABC",17,21.4,1977
"ABC Sunday Night Movie","ABC",20,20.8,1977
"ABC Monday Night Movie","ABC",24,20.3,1977
"Welcome Back, Kotter","ABC",26,19.9,1977
"Laverne & Shirley","ABC",1,30.5,1978
"Three's Company","ABC",2,30.3,1978
"Mork & Mindy","ABC",3,28.6,1978
"Happy Days","ABC",3,28.6,1978
"Angie","ABC",5,26.7,1978
"The Ropers","ABC",8,25.2,1978
"Taxi","ABC",9,24.9,1978
"Eight Is Enough","ABC",11,24.8,1978
"Charlie's Angels","ABC",12,24.4,1978
"ABC Sunday Night Movie","ABC",15,22.6,1978
"Barney Miller","ABC",15,22.6,1978
"The Love Boat","ABC",17,22.1,1978
"Soap","ABC",19,21.3,1978
"Fantasy Island","ABC",22,20.8,1978
"Vega$","ABC",23,20.6,1978
"Monday Night Football","ABC",28,19.8,1978
"What's Happening!!","ABC",28,19.8,1978
"Three's Company","ABC",2,26.3,1979
"That's Incredible!","ABC",3,25.8,1979
"Eight Is Enough","ABC",12,22.8,1979
"Taxi","ABC",13,22.4,1979
"Happy Days","ABC",17,21.7,1979
"Charlie's Angels","ABC",20,20.9,1979
"Barney Miller","ABC",20,20.9,1979
"Benson","ABC",23,20.6,1979
"The Love Boat","ABC",23,20.6,1979
"Soap","ABC",25,20.5,1979
"Mork & Mindy","ABC",27,20.2,1979
"Fantasy Island","ABC",28,20.1,1979
"Ten-speed and Brown Shoe","ABC",29,20,1979
"ABC Sunday Night Movie","ABC",29,20,1979
"Vega$","ABC",29,20,1979
"The Love Boat","ABC",5,24.3,1980
"Three's Company","ABC",8,22.4,1980
"Happy Days","ABC",15,20.8,1980
"Too Close for Comfort","ABC",15,20.8,1980
"Fantasy Island","ABC",17,20.7,1980
"Monday Night Football","ABC",20,20.6,1980
"Laverne & Shirley","ABC",20,20.6,1980
"That's Incredible!","ABC",22,20.5,1980
"Hart to Hart","ABC",23,19.9,1980
"ABC Sunday Night Movie","ABC",24,19.4,1980
"Three's Company","ABC",4,23.3,1981
"ABC Monday Night Movie","ABC",8,22.5,1981
"Monday Night Football","ABC",11,21.8,1981
"The Love Boat","ABC",14,21.2,1981
"Hart to Hart","ABC",15,21.1,1981
"Trapper John, M.D.","ABC",15,21.1,1981
"Happy Days","ABC",18,20.6,1981
"Dynasty","ABC",19,20.2,1981
"Laverne & Shirley","ABC",20,19.9,1981
"ABC Sunday Night Movie","ABC",22,19.5,1981
"The Fall Guy","ABC",26,19,1981
"That's Incredible!","ABC",28,18.4,1981
"T.J. Hooker","ABC",28,18.4,1981
"Fantasy Island","ABC",30,18.3,1981
"Dynasty","ABC",5,22.4,1982
"Three's Company","ABC",6,21.2,1982
"The Love Boat","ABC",9,20.3,1982
"Monday Night Football","ABC",10,20.1,1982
"The Fall Guy","ABC",14,19.4,1982
"9 to 5","ABC",15,19.3,1982
"Hart to Hart","ABC",17,18.9,1982
"That's Incredible!","ABC",22,18.3,1982
"ABC Monday Night Movie","ABC",24,18,1982
"Laverne & Shirley","ABC",25,17.8,1982
"ABC Sunday Night Movie","ABC",26,17.6,1982
"Happy Days","ABC",28,17.4,1982
"Dynasty","ABC",3,24.1,1983
"Hotel","ABC",9,21.1,1983
"ABC Sunday Night Movie","ABC",12,20.4,1983
"ABC Monday Night Movie","ABC",12,20.4,1983
"The Fall Guy","ABC",16,19.9,1983
"The Love Boat","ABC",17,19,1983
"Monday Night Football","ABC",21,18.1,1983
"Webster","ABC",25,17.2,1983
"Hardcastle and McCormick","ABC",25,17.2,1983
"Dynasty","ABC",1,25,1984
"Hotel","ABC",12,19.7,1984
"ABC Sunday Night Movie","ABC",21,17.5,1984
"The Fall Guy","ABC",22,17.1,1984
"Dynasty","ABC",7,21.8,1985
"Who's the Boss?","ABC",10,21.1,1985
"Monday Night Football","ABC",15,19.8,1985
"Growing Pains","ABC",17,19.5,1985
"Hotel","ABC",22,18.3,1985
"Moonlighting","ABC",24,18.1,1985
"Growing Pains","ABC",8,22.7,1986
"Moonlighting","ABC",9,22.4,1986
"Who's the Boss?","ABC",10,22,1986
"Monday Night Football","ABC",18,18.4,1986
"Dynasty","ABC",24,17.2,1986
"Head of the Class","ABC",30,16.4,1986
"Growing Pains","ABC",5,21.3,1987
"Who's the Boss?","ABC",6,21.2,1987
"The Wonder Years","ABC",10,18.8,1987
"Moonlighting","ABC",12,18.3,1987
"Monday Night Football","ABC",16,17.4,1987
"Head of the Class","ABC",23,16.7,1987
"Roseanne","ABC",2,23.8,1988
"Who's the Boss?","ABC",7,20.8,1988
"Anything but Love","ABC",10,19,1988
"Monday Night Football","ABC",15,17.5,1988
"Head of the Class","ABC",20,17.1,1988
"ABC Mystery Movie","ABC",29,15.4,1988
"Roseanne","ABC",1,23.1,1989
"America's Funniest Home Videos","ABC",5,20.9,1989
"The Wonder Years","ABC",8,19.2,1989
"Monday Night Football","ABC",10,18.1,1989
"Who's the Boss?","ABC",12,17.9,1989
"Chicken Soup","ABC",13,17.7,1989
"Coach","ABC",18,17,1989
"Growing Pains","ABC",21,15.4,1989
"Full House","ABC",22,15.3,1989
"Head of the Class","ABC",26,14.8,1989
"Doogie Howser, M.D.","ABC",28,14.5,1989
"60 Minutes","CBS",2,20.6,1990
