Rank	Program	Network	Rating	Year						
17	Dharma & Greg	ABC	10.5	1999						
3	Roseanne	ABC	18.1	1990						
8	America's Funniest Home Videos	ABC	16.7	1990						
9	Monday Night Football	ABC	16.6	1990						
13	America's Funniest People	ABC	16.3	1990						
14	Full House	ABC	15.9	1990						
15	Family Matters	ABC	15.8	1990						
18	Coach	ABC	15.3	1990						
19	Who's the Boss?	ABC	15	1990						
24	"Doogie Howser, M.D."	ABC	14.7	1990						
26	Head of the Class	ABC	14.5	1990						
27	Growing Pains	ABC	14.3	1990						
27	Baby Talk	ABC	14.3	1990						
27	Davis Rules	ABC	14.3	1990						
30	The Wonder Years	ABC	14.2	1990						
2	Roseanne	ABC	19.9	1991						
4	Home Improvement	ABC	17.5	1991						
7	Full House	ABC	17	1991						
10	Coach	ABC	16.7	1991						
10	Room for Two	ABC	16.7	1991						
12	Monday Night Football	ABC	16.6	1991						
20	America's Funniest Home Videos	ABC	14.5	1991						
21	20/20	ABC	14.4	1991						
25	America's Funniest People	ABC	13.8	1991						
2	Roseanne	ABC	20.7	1992						
3	Home Improvement	ABC	19.4	1992						
6	Coach	ABC	17.5	1992						
7	Monday Night Football	ABC	16.7	1992						
10	Full House	ABC	15.8	1992						
12	20/20	ABC	15.1	1992						
16	Hanging' with Mr. Cooper	ABC	14.6	1992						
22	Primetime Live	ABC	14.1	1992						
28	ABC Sunday Night Movie	ABC	13.3	1992						
28	Matlock	ABC	13.3	1992						
2	Home Improvement	ABC	20.4	1993						
4	Roseanne	ABC	19.1	1993						
5	Grace Under Fire	ABC	17.7	1993						
6	Coach	ABC	17.4	1993						
8	Monday Night Football	ABC	16.5	1993						
12	Thunder Alley	ABC	15.9	1993						
15	20/20	ABC	14.3	1993						
16	Full House	ABC	14.2	1993						
17	Primetime Live	ABC	14	1993						
18	NYPD Blue	ABC	13.9	1993						
20	Turning Point	ABC	13.8	1993						
27	Phenom	ABC	13.2	1993						
30	ABC Sunday Night Movie	ABC	12.6	1993						
30	Family Matters	ABC	12.6	1993						
3	Home Improvement	ABC	19.5	1994						
4	Grace Under Fire	ABC	18.6	1994						
5	Monday Night Football	ABC	17.7	1994						
7	NYPD Blue	ABC	16.5	1994						
10	Roseanne	ABC	15.5	1994						
13	Ellen	ABC	14.8	1994						
17	20/20	ABC	14	1994						
20	Me and the Boys	ABC	13.1	1994						
23	ABC Sunday Movie	ABC	12.7	1994						
25	Full House	ABC	12.4	1994						
29	ABC Monday Night Movie	ABC	11.7	1994						
29	Primetime Live	ABC	11.7	1994						
5	Monday Night Football	ABC	17.1	1995						
7	Home Improvement	ABC	16.1	1995						
10	NYPD Blue	ABC	14.1	1995						
11	20/20	ABC	13.6	1995						
13	Grace Under Fire	ABC	13.2	1995						
14	Coach	ABC	12.9	1995						
16	Roseanne	ABC	12.5	1995						
18	Primetime Live	ABC	12.3	1995						
24	The Naked Truth	ABC	11.4	1995						
30	The Dana Carvey Show	ABC	11.2	1995						
7	Monday Night Football	ABC	16	1996						
9	Home Improvement	ABC	14	1996						
12	20/20	ABC	12.8	1996						
13	NYPD Blue	ABC	12.5	1996						
15	Primetime Live	ABC	11.9	1996						
17	Spin City	ABC	11.7	1996						
18	The Drew Carey Show	ABC	11.5	1996						
29	Ellen	ABC	10.6	1996						
5	Monday Night Football	ABC	15	1997						
10	Home Improvement	ABC	12	1997						
15	The Drew Carey Show	ABC	11.1	1997						
16	20/20 - Friday	ABC	10.9	1997						
17	NYPD Blue	ABC	10.8	1997						
17	Primetime Live	ABC	10.8	1997						
21	20/20 - Monday	ABC	10	1997						
25	Dharma & Greg	ABC	9.5	1997						
28	Hiller and Diller	ABC	9.3	1997						
4	Monday Night Football	ABC	14.9	1998						
10	Home Improvement	ABC	11	1998						
12	NYPD Blue	ABC	10.5	1998						
14	The Drew Carey Show	ABC	9.9	1998						
16	20/20 - Wednesday	ABC	9.8	1998						
24	Dharma & Greg	ABC	9.3	1998						
25	Spin City	ABC	9.2	1998						
1	Who Wants to Be a Millionaire - Tuesday	ABC	18.6	1999						
2	Who Wants to Be a Millionaire - Thursday	ABC	17.5	1999						
3	Who Wants to Be a Millionaire - Sunday	ABC	17.1	1999						
7	Monday Night Football	ABC	13.5	1999						
9	The Practice	ABC	11.8	1999						
15	NYPD Blue	ABC	10.7	1999						
21	The Drew Carey Show	ABC	9.5	1999						
24	ABC Monday Movie	ABC	9.1	1999						
3	Who Wants to Be a Millionaire - Wednesday	ABC	13.7	2000						
4	Who Wants to Be a Millionaire - Tuesday	ABC	13	2000						
5	Monday Night Football	ABC	12.6	2000						
8	Who Wants to Be a Millionaire - Sunday	ABC	12.4	2000						
10	The Practice	ABC	11.7	2000						
11	Who Wants to Be a Millionaire - Thursday	ABC	11.6	2000						
19	Who Wants to Be a Millionaire - Friday	ABC	10.5	2000						
22	NYPD Blue	ABC	9.7	2000						
7	Monday Night Football	ABC	11.5	2001						
23	The Practice	ABC	8.3	2001						
23	NYPD Blue	ABC	8.3	2001						
10	Monday Night Football	ABC	11.4	2002						
16	The Bachelor/The Bachelorette	ABC	9.9	2002						
29	NYPD Blue	ABC	7.8	2002						
9	Monday Night Football	ABC	11.2	2003						
21	The Bachelor/The Bachelorette	ABC	8.3	2003						
4	Desperate Housewives	ABC	14.5	2004						
8	Grey's Anatomy	ABC	11.6	2004						
10	Monday Night Football	ABC	10.8	2004						
13	Lost	ABC	9.8	2004						
18	Extreme Makeover: Home Edition	ABC	9.1	2004						
24	Boston Legal	ABC	8.1	2004						
4	Desperate Housewives	ABC	13.8	2005						
5	Grey's Anatomy	ABC	12.5	2005						
7	Dancing with the Stars	ABC	12	2005						
9	Monday Night Football	ABC	10.6	2005						
15	Dancing with the Stars - Results	ABC	9.6	2005						
18	Lost	ABC	9.2	2005						
23	Extreme Makeover: Home Edition	ABC	8.6	2005						
24	Commander in Chief	ABC	8.4	2005						
3	Dancing with the Stars - Monday	ABC	12.7	2006						
3	Dancing with the Stars - Tuesday	ABC	12.7	2006						
3	Dancing with the Stars - Wednesday	ABC	12.7	2006						
7	Grey's Anatomy	ABC	12.1	2006						
9	Desperate Housewives	ABC	10.8	2006						
22	Lost	ABC	8.3	2006						
26	Extreme Makeover: Home Edition	ABC	7.7	2006						
27	Ugly Betty	ABC	7.4	2006						
27	ER	ABC	7.4	2006						
27	24	ABC	7.4	2006						
30	Brothers & Sisters	ABC	7.3	2006						
3	Dancing with the Stars - Monday	ABC	14	2007						
4	Dancing with the Stars - Tuesday	ABC	12.6	2007						
5	Dancing with the Stars - Wednesday	ABC	12.3	2007						
6	Desperate Housewives	ABC	11.6	2007						
9	Grey's Anatomy	ABC	10.4	2007						
19	Samantha Who?	ABC	8	2007						
20	Lost	ABC	7.9	2007						
21	Extreme Makeover: Home Edition	ABC	7.8	2007						
22	Brothers & Sisters	ABC	7.6	2007						
22	CSI: NY	ABC	7.6	2007						
22	Heroes	ABC	7.6	2007						
26	Private Practice	ABC	7.3	2007						
3	Dancing with the Stars - Monday	ABC	12.9	2008						
7	Dancing with the Stars - Tuesday	ABC	10.7	2008						
9	Desperate Housewives	ABC	9.9	2008						
10	Grey's Anatomy	ABC	9.6	2008						
20	The Bachelor	ABC	7.5	2008						
23	Brothers & Sisters	ABC	7.2	2008						
25	Castle	ABC	6.9	2008						
29	Lost	ABC	6.6	2008						
3	Dancing with the Stars	ABC	12.6	2009						
7	Dancing with the Stars - Results	ABC	9.9	2009						
11	Grey's Anatomy	ABC	9	2009						
13	Desperate Housewives	ABC	8.8	2009						
21	The Bachelor	ABC	7.8	2009						
23	Brothers & Sisters	ABC	7	2009						
24	Castle	ABC	6.9	2009						
24	Lost	ABC	6.9	2009						
29	Private Practice	ABC	6.3	2009						
2	Dancing with the Stars	ABC	13.8	2010						
5	Dancing with the Stars - Results	ABC	11.8	2010						
9	Body of Proof	ABC	9	2010						
17	Desperate Housewives	ABC	7.5	2010						
17	Grey's Anatomy	ABC	7.5	2010						
22	Castle	ABC	7.3	2010						
25	Modern Family	ABC	7.1	2010						
27	The Bachelor	ABC	7	2010						
3	Dancing with the Stars	ABC	12	2011						
6	Dancing with the Stars - Results	ABC	10.6	2011						
15	Modern Family	ABC	8.1	2011						
16	Castle	ABC	8	2011						
21	Grey's Anatomy	ABC	7.6	2011						
28	Desperate Housewives	ABC	7	2011						
28	Once Upon a Time	ABC	7	2011						
6	Dancing with the Stars	ABC	9.9	2012						
7	Dancing with the Stars - Results	ABC	9.2	2012						
15	Castle	ABC	8.1	2012						
18	Grey's Anatomy	ABC	7.7	2012						
18	Modern Family	ABC	7.7	2012						
23	Body of Proof	ABC	7.3	2012						
5	Dancing with the Stars	ABC	10	2013						
11	Grey's Anatomy	ABC	8.5	2013						
12	Castle	ABC	8.3	2013						
13	Scandal	ABC	8.2	2013						
15	Resurrection	ABC	8.1	2013						
18	Modern Family	ABC	7.6	2013						
5	Dancing with the Stars	ABC	10	2015						
11	Grey's Anatomy	ABC	8.5	2015						
12	Castle	ABC	8.3	2015						
13	Scandal	ABC	8.2	2015						
15	Resurrection	ABC	8.1	2015						
18	Modern Family	ABC	7.6	2015						
4	Roseanne	ABC	10.2	2017						
7	The Good Doctor	ABC	9.3	2017						
12	Grey's Anatomy	ABC	7.1	2017						
15	Dancing with the Stars	ABC	6.9	2017						
25	Dancing with the Stars: Athletes	ABC	6	2017						
30	American Idol - Monday	ABC	5.6	2017						
9	The Good Doctor	ABC	7.4	2018						
20	Grey's Anatomy	ABC	6.5	2018						
27	The Conners	ABC	5.8	2018						
29	Dancing with the Stars	ABC	5.5	2018						
7	Dancing with the Stars	ABC	9.7	2014						
8	Scandal	ABC	9	2014						
17	Grey's Anatomy	ABC	7.8	2014						
20	How to Get Away with Murder	ABC	7.7	2014						
23	Modern Family	ABC	7.5	2014						
28	Castle	ABC	7.2	2014						
16	S.W.A.T.	ABC	22.6	1974						
18	The Rookies	ABC	22	1974						
22	The Streets of San Francisco	ABC	21.3	1974						
2	"Rich Man, Poor Man"	ABC	28	1975						
3	Laverne & Shirley	ABC	27.5	1975						
5	The Bionic Woman	ABC	24.9	1975						
9	The Six Million Dollar Man	ABC	24.3	1975						
10	ABC Monday Night Movie	ABC	24.2	1975						
11	Happy Days	ABC	23.9	1975						
13	ABC Sunday Night Movie	ABC	23	1975						
16	Starsky & Hutch	ABC	22.5	1975						
16	Good Heavens	ABC	22.5	1975						
18	"Welcome Back, Kotter"	ABC	22.1	1975						
22	Barretta	ABC	21.3	1975						
26	Donny & Marie	ABC	20.7	1975						
26	The Streets of San Francisco	ABC	20.7	1975						
1	Happy Days	ABC	31.5	1976						
2	Laverne & Shirley	ABC	30.9	1976						
3	ABC Monday Night Movie	ABC	26	1976						
5	Charlie's Angels	ABC	25.8	1976						
7	The Six Million Dollar Man	ABC	24.2	1976						
8	ABC Sunday Night Movie	ABC	23.4	1976						
8	Barretta	ABC	23.4	1976						
11	Three's Company	ABC	23.1	1976						
13	"Welcome Back, Kotter"	ABC	22.7	1976						
14	The Bionic Woman	ABC	22.4	1976						
17	Barney Miller	ABC	22.2	1976						
21	"Rich Man, Poor Man Book II"	ABC	21.6	1976						
22	Monday Night Football	ABC	21.2	1976						
23	Eight Is Enough	ABC	21.1	1976						
25	What's Happening!!	ABC	20.9	1976						
28	ABC Friday Night Movie	ABC	20.2	1976						
29	The Tony Randall Show	ABC	20.1	1976						
1	Laverne & Shirley	ABC	31.6	1977						
2	Happy Days	ABC	31.4	1977						
3	Three's Company	ABC	28.3	1977						
4	Charlie's Angels	ABC	24.4	1977						
11	How the West Was Won	ABC	22.5	1977						
12	Eight Is Enough	ABC	22.2	1977						
13	Soap	ABC	22	1977						
14	The Love Boat	ABC	21.9	1977						
16	Monday Night Football	ABC	21.5	1977						
17	Fantasy Island	ABC	21.4	1977						
17	Barney Miller	ABC	21.4	1977						
20	ABC Sunday Night Movie	ABC	20.8	1977						
24	ABC Monday Night Movie	ABC	20.3	1977						
26	"Welcome Back, Kotter"	ABC	19.9	1977						
1	Laverne & Shirley	ABC	30.5	1978						
2	Three's Company	ABC	30.3	1978						
3	Mork & Mindy	ABC	28.6	1978						
3	Happy Days	ABC	28.6	1978						
5	Angie	ABC	26.7	1978						
8	The Ropers	ABC	25.2	1978						
9	Taxi	ABC	24.9	1978						
11	Eight Is Enough	ABC	24.8	1978						
12	Charlie's Angels	ABC	24.4	1978						
15	ABC Sunday Night Movie	ABC	22.6	1978						
15	Barney Miller	ABC	22.6	1978						
17	The Love Boat	ABC	22.1	1978						
19	Soap	ABC	21.3	1978						
22	Fantasy Island	ABC	20.8	1978						
23	Vega$	ABC	20.6	1978						
28	Monday Night Football	ABC	19.8	1978						
28	What's Happening!!	ABC	19.8	1978						
2	Three's Company	ABC	26.3	1979						
3	That's Incredible!	ABC	25.8	1979						
12	Eight Is Enough	ABC	22.8	1979						
13	Taxi	ABC	22.4	1979						
17	Happy Days	ABC	21.7	1979						
20	Charlie's Angels	ABC	20.9	1979						
20	Barney Miller	ABC	20.9	1979						
23	Benson	ABC	20.6	1979						
23	The Love Boat	ABC	20.6	1979						
25	Soap	ABC	20.5	1979						
27	Mork & Mindy	ABC	20.2	1979						
28	Fantasy Island	ABC	20.1	1979						
29	Ten-speed and Brown Shoe	ABC	20	1979						
29	ABC Sunday Night Movie	ABC	20	1979						
29	Vega$	ABC	20	1979						
5	The Love Boat	ABC	24.3	1980						
8	Three's Company	ABC	22.4	1980						
15	Happy Days	ABC	20.8	1980						
15	Too Close for Comfort	ABC	20.8	1980						
17	Fantasy Island	ABC	20.7	1980						
20	Monday Night Football	ABC	20.6	1980						
20	Laverne & Shirley	ABC	20.6	1980						
22	That's Incredible!	ABC	20.5	1980						
23	Hart to Hart	ABC	19.9	1980						
24	ABC Sunday Night Movie	ABC	19.4	1980						
4	Three's Company	ABC	23.3	1981						
8	ABC Monday Night Movie	ABC	22.5	1981						
11	Monday Night Football	ABC	21.8	1981						
14	The Love Boat	ABC	21.2	1981						
15	Hart to Hart	ABC	21.1	1981						
15	"Trapper John, M.D."	ABC	21.1	1981						
18	Happy Days	ABC	20.6	1981						
19	Dynasty	ABC	20.2	1981						
20	Laverne & Shirley	ABC	19.9	1981						
22	ABC Sunday Night Movie	ABC	19.5	1981						
26	The Fall Guy	ABC	19	1981						
28	That's Incredible!	ABC	18.4	1981						
28	T.J. Hooker	ABC	18.4	1981						
30	Fantasy Island	ABC	18.3	1981						
5	Dynasty	ABC	22.4	1982						
6	Three's Company	ABC	21.2	1982						
9	The Love Boat	ABC	20.3	1982						
10	Monday Night Football	ABC	20.1	1982						
14	The Fall Guy	ABC	19.4	1982						
15	9 to 5	ABC	19.3	1982						
17	Hart to Hart	ABC	18.9	1982						
22	That's Incredible!	ABC	18.3	1982						
24	ABC Monday Night Movie	ABC	18	1982						
25	Laverne & Shirley	ABC	17.8	1982						
26	ABC Sunday Night Movie	ABC	17.6	1982						
28	Happy Days	ABC	17.4	1982						
3	Dynasty	ABC	24.1	1983						
9	Hotel	ABC	21.1	1983						
12	ABC Sunday Night Movie	ABC	20.4	1983						
12	ABC Monday Night Movie	ABC	20.4	1983						
16	The Fall Guy	ABC	19.9	1983						
17	The Love Boat	ABC	19	1983						
21	Monday Night Football	ABC	18.1	1983						
25	Webster	ABC	17.2	1983						
25	Hardcastle and McCormick	ABC	17.2	1983						
1	Dynasty	ABC	25	1984						
12	Hotel	ABC	19.7	1984						
21	ABC Sunday Night Movie	ABC	17.5	1984						
22	The Fall Guy	ABC	17.1	1984						
7	Dynasty	ABC	21.8	1985						
10	Who's the Boss?	ABC	21.1	1985						
15	Monday Night Football	ABC	19.8	1985						
17	Growing Pains	ABC	19.5	1985						
22	Hotel	ABC	18.3	1985						
24	Moonlighting	ABC	18.1	1985						
8	Growing Pains	ABC	22.7	1986						
9	Moonlighting	ABC	22.4	1986						
10	Who's the Boss?	ABC	22	1986						
18	Monday Night Football	ABC	18.4	1986						
24	Dynasty	ABC	17.2	1986						
30	Head of the Class	ABC	16.4	1986						
5	Growing Pains	ABC	21.3	1987						
6	Who's the Boss?	ABC	21.2	1987						
10	The Wonder Years	ABC	18.8	1987						
12	Moonlighting	ABC	18.3	1987						
16	Monday Night Football	ABC	17.4	1987						
23	Head of the Class	ABC	16.7	1987						
2	Roseanne	ABC	23.8	1988						
7	Who's the Boss?	ABC	20.8	1988						
10	Anything but Love	ABC	19	1988						
15	Monday Night Football	ABC	17.5	1988						
20	Head of the Class	ABC	17.1	1988						
29	ABC Mystery Movie	ABC	15.4	1988						
1	Roseanne	ABC	23.1	1989						
5	America's Funniest Home Videos	ABC	20.9	1989						
8	The Wonder Years	ABC	19.2	1989						
10	Monday Night Football	ABC	18.1	1989						
12	Who's the Boss?	ABC	17.9	1989						
13	Chicken Soup	ABC	17.7	1989						
18	Coach	ABC	17	1989						
21	Growing Pains	ABC	15.4	1989						
22	Full House	ABC	15.3	1989						
26	Head of the Class	ABC	14.8	1989						
28	"Doogie Howser, M.D."	ABC	14.5	1989						
2	60 Minutes	CBS	20.6	1990						
6	Murphy Brown	CBS	16.9	1990						
10	Designing Women	CBS	16.5	1990						
12	"Murder, She Wrote"	CBS	16.4	1990						
19	CBS Sunday Movie	CBS	15	1990						
21	Major Dad	CBS	14.9	1990						
1	60 Minutes	CBS	21.9	1991						
3	Murphy Brown	CBS	18.6	1991						
6	Designing Women	CBS	17.3	1991						
8	"Murder, She Wrote"	CBS	16.9	1991						
9	Major Dad	CBS	16.8	1991						
14	CBS Sunday Night Movie	CBS	15.9	1991						
15	Evening Shade	CBS	15.6	1991						
16	Northern Exposure	CBS	15.5	1991						
27	Family Matters	CBS	13.5	1991						
29	48 Hours	CBS	13.2	1991						
1	60 Minutes	CBS	21.9	1992						
4	Murphy Brown	CBS	17.9	1992						
5	"Murder, She Wrote"	CBS	17.7	1992						
8	CBS Sunday Movie	CBS	16.1	1992						
11	Northern Exposure	CBS	15.2	1992						
12	Rescue 911	CBS	15.1	1992						
14	CBS Tuesday Movie	CBS	14.8	1992						
15	Love & War	CBS	14.7	1992						
19	Evening Shade	CBS	14.5	1992						
20	Hearts Afire	CBS	14.3	1992						
23	"Dr. Quinn, Medicine Woman"	CBS	14	1992						
26	48 Hours	CBS	13.5	1992						
1	60 Minutes	CBS	20.9	1993						
9	Murphy Brown	CBS	16.3	1993						
10	CBS Sunday Movie	CBS	16.2	1993						
11	"Murder, She Wrote"	CBS	16	1993						
13	Love & War	CBS	14.5	1993						
14	Northern Exposure	CBS	14.4	1993						
21	Dave's World	CBS	13.7	1993						
25	CBS Tuesday Movie	CBS	13.3	1993						
27	Evening Shade	CBS	13.2	1993						
27	Rescue 911	CBS	13.2	1993						
6	60 Minutes	CBS	17.2	1994						
8	"Murder, She Wrote"	CBS	15.6	1994						
16	Murphy Brown	CBS	14.1	1994						
18	CBS Sunday Movie	CBS	13.7	1994						
21	Dave's World	CBS	12.9	1994						
22	Cybill	CBS	12.8	1994						
24	The Nanny	CBS	12.5	1994						
29	Chicago Hope	CBS	11.7	1994						
9	60 Minutes	CBS	14.2	1995						
16	The Nanny	CBS	12.5	1995						
18	"Walker, Texas Ranger"	CBS	12.3	1995						
18	Murphy Brown	CBS	12.3	1995						
23	Chicago Hope	CBS	11.9	1995						
24	CBS Sunday Movie	CBS	11.4	1995						
24	Can't Hurry Love	CBS	11.4	1995						
10	Touched by an Angel	CBS	13.6	1996						
11	60 Minutes	CBS	13.3	1996						
14	CBS Sunday Movie	CBS	12.1	1996						
21	Cosby	CBS	11.2	1996						
23	"Walker, Texas Ranger"	CBS	11	1996						
30	Chicago Hope	CBS	10.5	1996						
30	Cybill	CBS	10.5	1996						
6	Touched by an Angel	CBS	14.2	1997						
7	60 Minutes	CBS	13.8	1997						
9	CBS Sunday Movie	CBS	13.1	1997						
22	Diagnosis: Murder	CBS	9.8	1997						
25	Cosby	CBS	9.5	1997						
28	"Walker, Texas Ranger"	CBS	9.3	1997						
30	Everybody Loves Raymond	CBS	9.2	1997						
7	60 Minutes	CBS	13.2	1998						
8	Touched by an Angel	CBS	13.1	1998						
9	CBS Sunday Movie	CBS	12	1998						
11	Everybody Loves Raymond	CBS	10.6	1998						
16	JAG	CBS	9.8	1998						
19	Becker	CBS	9.7	1998						
25	"Walker, Texas Ranger"	CBS	9.2	1998						
30	60 Minutes II	CBS	9	1998						
30	Diagnosis: Murder	CBS	9	1998						
8	60 Minutes	CBS	12	1999						
10	Touched by an Angel	CBS	11.6	1999						
12	Everybody Loves Raymond	CBS	11.4	1999						
14	CBS Sunday Movie	CBS	10.9	1999						
18	Becker	CBS	10.4	1999						
19	Judging Amy	CBS	10.2	1999						
20	JAG	CBS	9.7	1999						
23	60 Minutes II	CBS	9.3	1999						
27	Family Law	CBS	9	1999						
30	CBS Wednesday Movie	CBS	8.8	1999						
1	Survivor	CBS	17.4	2000						
5	Everybody Loves Raymond	CBS	12.6	2000						
11	CSI: Crime Scene Investigation	CBS	11.6	2000						
